demo_npi,series,value
1457394306,peer_group,53.24
1457394306,peer_group,52.31
1457394306,peer_group,52.16
1457394306,peer_group,52.10
1457394306,peer_group,51.99
1457394306,peer_group,50.65
1457394306,peer_group,49.53
1457394306,peer_group,49.41
1457394306,peer_group,48.89
1457394306,peer_group,48.84
1457394306,peer_group,48.33
1457394306,peer_group,48.25
1457394306,peer_group,48.08
1457394306,peer_group,47.37
1457394306,peer_group,46.91
1457394306,peer_group,46.20
1457394306,peer_group,45.50
1457394306,peer_group,45.40
1457394306,peer_group,45.02
1457394306,peer_group,44.89
1457394306,peer_group,44.62
1457394306,peer_group,44.23
1457394306,peer_group,43.26
1457394306,peer_group,42.64
1457394306,peer_group,42.53
1457394306,peer_group,42.49
1457394306,peer_group,41.95
1457394306,peer_group,41.79
1457394306,peer_group,40.92
1457394306,peer_group,40.89
1457394306,peer_group,40.29
1457394306,peer_group,40.15
1457394306,peer_group,39.53
1457394306,peer_group,38.23
1457394306,peer_group,37.87
1457394306,peer_group,37.04
1457394306,peer_group,36.66
1457394306,peer_group,36.56
1457394306,peer_group,36.39
1457394306,peer_group,36.02
1457394306,peer_group,34.34
1457394306,peer_group,34.16
1457394306,peer_group,33.03
1457394306,peer_group,31.52
1457394306,peer_group,31.37
1457394306,peer_group,31.36
1457394306,peer_group,31.15
1457394306,peer_group,31.10
1457394306,peer_group,29.66
1457394306,peer_group,29.14
1457394306,peer_group,28.95
1457394306,peer_group,28.82
1457394306,peer_group,28.07
1457394306,peer_group,27.32
1457394306,peer_group,27.31
1457394306,peer_group,27.23
1457394306,peer_group,27.16
1457394306,peer_group,26.95
1457394306,peer_group,26.44
1457394306,peer_group,26.12
1457394306,peer_group,25.89
1457394306,peer_group,25.79
1457394306,peer_group,25.73
1457394306,peer_group,25.63
1457394306,peer_group,24.62
1457394306,peer_group,24.08
1457394306,peer_group,22.35
1457394306,peer_group,21.75
1457394306,peer_group,21.33
1457394306,peer_group,20.47
1457394306,peer_group,19.97
1457394306,peer_group,19.92
1457394306,peer_group,19.50
1457394306,peer_group,19.41
1457394306,peer_group,18.86
1457394306,peer_group,17.76
1457394306,peer_group,17.61
1457394306,peer_group,16.93
1457394306,peer_group,15.33
1457394306,peer_group,15.26
1457394306,peer_group,15.02
1457394306,peer_group,14.51
1457394306,peer_group,14.22
1457394306,peer_group,12.59
1457394306,this_provider,9534232.57
1457435760,peer_group,24816436.51
1457435760,peer_group,908820.56
1457435760,peer_group,773675.42
1457435760,peer_group,653804.08
1457435760,peer_group,639473.19
1457435760,peer_group,637023.63
1457435760,peer_group,593334.72
1457435760,peer_group,559039.57
1457435760,peer_group,467411.25
1457435760,peer_group,385175.48
1457435760,peer_group,376347.95
1457435760,peer_group,269329.24
1457435760,peer_group,258956.42
1457435760,peer_group,203056.41
1457435760,peer_group,127908.34
1457435760,peer_group,116408.34
1457435760,peer_group,72768.70
1457435760,peer_group,58310.01
1457435760,peer_group,46490.44
